RBD,ESTABLECIMIENTO,COMUNA,DC_TOT,MAT_TOTAL,RAZON_DOC_EST
924,ESCUELA LOS ACACIOS,4301,8,51,0.1568627450980392
925,ESCUELA BASICA VILLA LOS QUILES,4304,1,5,0.2
928,ESCUELA BASICA GRANEROS,4304,2,5,0.4
929,ESCUELA LOS NOGALES,4301,15,118,0.1271186440677966
931,ESCUELA SAN ANTONIO DE PADUA,4304,2,11,0.18181818181818182
932,ESCUELA UNION CAMPESINA,4301,20,143,0.13986013986013987
933,ESCUELA LAS CRUCES,4304,2,4,0.5
934,ESCUELA BEATRIZ VEGA VEGA,4304,2,8,0.25
935,ESCUELA SALALA,4301,6,14,0.42857142857142855
936,ESCUELA EL ESPINAL,4301,2,9,0.2222222222222222
937,ESCUELA ALCONES BAJOS,4301,16,82,0.1951219512195122
939,ESCUELA ALMENDRO DE QUILE,4304,1,2,0.5
940,ESCUELA SAN PEDRO,4304,2,14,0.14285714285714285
943,ESCUELA PADRE PABLO DIEHL HARTMAN,4301,2,6,0.3333333333333333
945,ESCUELA SOL NACIENTE,4304,6,23,0.2608695652173913
946,ESCUELA TERESITA DE LOS ANDES,4304,25,222,0.11261261261261261
947,ESCUELA AURORA DE CHILE,4301,20,171,0.11695906432748537
949,ESCUELA EL DURAZNO DE QUILE,4304,1,6,0.16666666666666666
950,ESCUELA LA CEBADAS,4301,1,3,0.3333333333333333
951,ESCUELA LA CALERA DE SAN JULIAN,4301,1,3,0.3333333333333333
952,ESCUELA BASICA LOS CIENAGOS,4301,1,1,1.0
953,ESCUELA PATRICIO ZEBALLOS,4301,11,71,0.15492957746478872
954,ESCUELA EL AJIAL DE QUILE,4304,2,3,0.6666666666666666
955,ESCUELA VILLA LOS CORRALES,4304,2,6,0.3333333333333333
956,ESCUELA PORTEZUELOS BLANCOS,4304,2,4,0.5
957,ESCUELA EL CIENAGO,4304,1,5,0.2
959,COLEGIO PARTICULAR SALI HOCHSCHILD,4304,28,513,0.05458089668615984
960,ESCUELA PARTICULAR EL LLANITO,4304,1,4,0.25
963,ESCUELA PARTICULAR EL TENIENTE,4301,1,1,1.0
964,ESCUELA BASICA MUNICIPAL DE ADULTOS,4201,14,187,0.0748663101604278
967,LICEO DOMINGO ORTIZ DE ROZAS,4201,40,593,0.06745362563237774
968,LICEO POLITECNICO PABLO RODRIGUEZ CAVIEDES,4201,44,582,0.07560137457044673
969,ESCUELA BASICA VALLE DEL CHOAPA,4201,41,529,0.07750472589792061
970,ESCUELA JUAN CARRASCO RISCO,4201,24,277,0.08664259927797834
971,ESCUELA BASICA SAN RAFAEL DE ROZAS,4201,34,398,0.08542713567839195
972,ESCUELA BASICA JORGE ARACENA RAMOS,4201,21,252,0.08333333333333333
973,ESCUELA BASICA CLEMENCIA VILLARROEL,4201,19,148,0.12837837837837837
974,ESCUELA BASICA CAMILO HENRIQUEZ,4201,11,88,0.125
976,ESCUELA BASICA LAS PALMERAS DE LIMAHUIDA,4201,18,117,0.15384615384615385
977,ESCUELA BASICA GRACIELA DIAZ ALLENDE,4201,10,73,0.136986301369863
978,ESCUELA BASICA MATANCILLA,4201,1,9,0.1111111111111111
981,ESCUELA BASICA CHOAPA LINDO,4201,2,11,0.18181818181818182
982,ESCUELA BASICA VILLA LOS NARANJOS,4201,38,467,0.08137044967880086
984,ESCUELA BASICA TUNGA SUR,4201,2,8,0.25
985,ESCUELA BASICA ASIENTO VIEJO,4201,3,20,0.15
986,ESCUELA BASICA LAS CHINCHILLAS DE COCOU,4201,1,6,0.16666666666666666
987,COLEGIO SANTA TERESA,4201,69,1167,0.05912596401028278
988,LICEO PARTICULAR LUIS ALBERTO VERA,4201,24,207,0.11594202898550725
990,ESCUELA PARTICULAR LAS CANAS,4201,19,216,0.08796296296296297
